arm,case_index,scenario_seed,simulation_seed,controller,scenario,force_rmse_n,peak_force_n,tangent_rmse_mm,orientation_rmse_deg,contact_ratio_pct,torque_rms_nm,saturation_pct,controller_p95_us,gate_pass,failed_checks,verified_force_rmse_n_abs_error,verified_peak_force_n_abs_error,verified_tangent_rmse_mm_abs_error,verified_orientation_rmse_deg_abs_error,verified_contact_ratio_pct_abs_error,verified_torque_rms_nm_abs_error,verified_saturation_pct_abs_error,first_raw_contact_time_s,first_contact_wall_normal_velocity_m_s,early_raw_peak_n,late_raw_peak_n,seconds_over_35_n,peak_wall_normal_velocity_m_s,peak_commanded_wall_normal_force_n,event_timing,has_raw_contact
consistent_reference,45,15132433425372435506,12619866276639932811,safe_adaptive_hybrid,blind_45,1.1507500083762858,42.90470218836179,6.1080107546276965,2.327978963802968,100.0,24.874581159730155,0.0,326.7659,no,peak_force,,,,,,,,0.624,0.07506092784695934,42.90470218836179,35.78059347457989,0.02,0.08705121473477226,9.667946702821508,aligned_split_step,True
consistent_reference,46,1052847607800730164,16861890421311852620,safe_adaptive_hybrid,blind_46,2.131699889481391,54.270342339170014,6.0344304905027855,4.217144606082187,100.0,27.267907629464645,0.0,316.13045,no,force_rmse;peak_force,,,,,,,,0.5740000000000001,0.22243626342174228,54.270342339170014,36.770331448457874,0.03,0.21250724291238388,14.08202551212257,aligned_split_step,True
consistent_reference,47,15762318482298756052,14142468612194278539,safe_adaptive_hybrid,blind_47,1.348386519407992,40.221028314575825,17.933892431325965,3.7109588725502185,100.0,23.40434666655735,0.0,292.72675,no,peak_force;tangent_rmse,,,,,,,,0.37,0.05674922857358492,34.39394572442271,40.221028314575825,0.084,0.017493822869168403,10.160097152285491,aligned_split_step,True
rate_limited_reference,0,16301434959511870338,1237627388685738049,rate_limited_adaptive_hybrid,blind_00,3.272718644420908,40.32674603916539,9.002051141763003,6.753129033334667,100.0,22.834948461158195,0.0,332.71254999999996,no,force_rmse;peak_force,,,,,,,,1.03,0.021139924117013646,21.212694119172834,40.32674603916539,0.082,0.008614826862838354,14.688745154934928,aligned_split_step,True
rate_limited_reference,1,17525301306413689991,6910629524156363117,rate_limited_adaptive_hybrid,blind_01,1.263383694663827,38.01498528290948,16.19218939392149,1.9837731620922854,100.0,23.00555240513935,0.0,324.51374999999996,no,peak_force;tangent_rmse,,,,,,,,0.47600000000000003,0.04175117489829995,20.43283460330488,38.01498528290948,0.012,0.018597036904339802,10.655919241010789,aligned_split_step,True
rate_limited_reference,2,9582396171392131757,11510007187665870296,rate_limited_adaptive_hybrid,blind_02,1.1671895329500421,36.67485682708865,7.009855622788677,2.073490120206627,100.0,24.541447482092668,0.0,326.26455,no,peak_force,,,,,,,,0.754,0.02780152155993116,18.85559706655941,36.67485682708865,0.006,0.01820957876428574,12.990486196306698,aligned_split_step,True
rate_limited_reference,3,2020940413233927572,6354302425675587931,rate_limited_adaptive_hybrid,blind_03,1.0970110814693819,34.92092249600228,6.322031932999756,1.9348520002285334,100.0,24.840550443209718,0.0,320.3707,yes,,,,,,,,,0.746,0.024511064004851146,16.54583603873489,34.92092249600228,0.0,0.02018838059553703,13.730549026883512,aligned_split_step,True
rate_limited_reference,4,4577279984682491532,6078883991136184361,rate_limited_adaptive_hybrid,blind_04,1.1131855617294906,31.474504556222577,12.506739253060035,3.689065677113699,100.0,25.062881189416796,0.0,565.7992499999999,yes,,,,,,,,,0.384,0.054989058768282924,28.739524750475063,31.474504556222577,0.0,0.029755006065086603,10.653348036083582,aligned_split_step,True
rate_limited_reference,5,12532684049207094977,15871473360209801291,rate_limited_adaptive_hybrid,blind_05,0.9303522858743145,27.724327399918213,7.186811829907292,0.8289985898686282,100.0,24.7438845167766,0.0,387.65825,yes,,,,,,,,,0.634,0.1056800661557495,27.724327399918213,24.593456548103386,0.0,0.08685441147589372,8.397853785909312,aligned_split_step,True
rate_limited_reference,6,7882380471846633001,1368606503599248569,rate_limited_adaptive_hybrid,blind_06,1.1080563695486296,31.629573587679484,11.540974176923081,2.619580103868621,100.0,24.95502411987053,0.0,361.2885,yes,,,,,,,,,0.438,0.04493846757281734,25.195515410130934,31.629573587679484,0.0,0.023235126894279572,11.599154813409312,aligned_split_step,True
rate_limited_reference,7,5165992133808271741,4212905083092472312,rate_limited_adaptive_hybrid,blind_07,1.290137716119636,38.132211521572515,16.4520498011379,3.3501459946560237,100.0,23.626748702265974,0.0,360.50825,no,peak_force;tangent_rmse,,,,,,,,0.386,0.0533114667459504,30.08571295774135,38.132211521572515,0.02,0.020703166793348278,10.66863897245281,aligned_split_step,True
